date,open,close,high,low,amount
2023-07-28,540.1,543.91,544.42,534.51,182682.0
2023-07-31,543.65,548.74,556.11,541.62,179105.0
2023-08-01,551.79,550.01,551.79,542.64,134665.0
2023-08-02,550.26,549.25,553.82,544.16,94298.0
2023-08-03,548.23,544.42,550.52,540.35,157265.0
2023-08-04,547.47,541.62,548.48,540.86,91865.0
2023-08-07,540.35,547.97,549.75,539.84,130162.0
2023-08-08,546.96,544.16,547.97,541.37,79960.0
2023-08-09,542.38,533.74,543.15,531.96,231231.0
2023-08-10,532.98,530.44,535.78,529.17,142399.0
2023-08-11,532.22,526.37,533.74,524.59,149371.0
2023-08-14,524.59,527.39,528.41,517.73,169884.0
2023-08-15,526.37,524.09,528.66,521.04,94149.0
2023-08-16,521.54,519.51,524.09,519.0,84327.0
2023-08-17,518.24,528.41,529.68,517.48,108969.0
2023-08-18,528.41,520.53,529.17,520.53,70438.0
2023-08-21,520.02,517.99,524.34,516.71,76642.0
2023-08-22,523.83,525.86,528.91,520.27,129659.0
2023-08-23,525.61,524.59,528.41,522.56,141802.0
2023-08-24,523.32,524.34,528.66,522.05,128274.0
2023-08-25,522.56,519.76,524.85,518.75,75872.0
2023-08-28,529.68,524.09,535.52,521.8,133595.0
2023-08-29,524.09,505.28,531.46,502.99,598989.0
2023-08-30,508.58,505.79,514.68,502.23,421749.0
2023-08-31,505.79,512.9,520.02,502.99,520804.0
2023-09-01,511.63,519.26,520.78,511.63,186374.0
2023-09-04,519.76,526.63,529.17,514.43,277912.0
2023-09-05,526.37,528.66,531.71,522.56,192199.0
2023-09-06,530.18,536.79,536.79,527.64,247728.0
2023-09-07,536.79,531.2,536.79,529.17,192846.0
2023-09-08,526.88,530.69,535.27,526.88,92454.0
2023-09-11,532.47,547.47,549.25,529.93,297509.0
2023-09-12,547.97,545.18,550.26,542.64,147648.0
2023-09-13,544.93,544.16,550.52,540.6,120712.0
2023-09-14,534.25,536.79,537.81,526.88,196985.0
2023-09-15,539.08,533.74,539.08,528.91,179607.0
2023-09-18,529.68,535.01,535.78,527.9,120015.0
2023-09-19,534.0,538.57,538.57,531.71,117007.0
2023-09-20,538.83,532.98,539.59,530.95,116810.0
2023-09-21,532.98,530.44,534.25,525.86,106412.0
2023-09-22,530.18,534.25,534.76,527.64,102069.0
2023-09-25,534.51,532.47,536.79,527.13,151812.0
2023-09-26,531.46,532.73,536.54,530.18,110820.0
2023-09-27,533.49,532.22,533.49,530.18,81162.0
